ID,Country,Area,Individual wind farm ID,Lat,Long,Spp level,Order or class,Common name,Genus,Species,All species studied?,Duration (years),Total period (d),Metrics,Value,Quality,Correction factor used?,Estimation of value,Buffer area m2,Main habitat,Habitat detail,N wind farms,N turbines,Per turbine output (MW)
102,USA,"Rio Vista in Solano County, California",High Winds ,38.1315,-121.7861667,1,chiroptera,Mexican Free-tailed Bat,Tadarida ,brasiliensis,Y,2,365,Annual mortality per turbine,0.491364,High,Y,Y,17678.57143,Farmland,"The land is privately owned and is largely agricultural. Where turbines and project roads are located the land use is entirely tilled agriculture. Crops include wheat, barley, hay and fallow fields.",1,90,1.8
102,USA,"Rio Vista in Solano County, California",High Winds ,38.1315,-121.7861667,1,chiroptera,Desert Red Bat,Lasiurus ,blossevillii,Y,2,365,Annual mortality per turbine,0.04095,High,Y,Y,17678.57143,Farmland,"The land is privately owned and is largely agricultural. Where turbines and project roads are located the land use is entirely tilled agriculture. Crops include wheat, barley, hay and fallow fields.",1,90,1.8
102,USA,"Rio Vista in Solano County, California",High Winds ,38.1315,-121.7861667,1,chiroptera,Silver-haired Bat,Lasionycteris ,noctifagans,Y,2,365,Annual mortality per turbine,0.020466,High,Y,Y,17678.57143,Farmland,"The land is privately owned and is largely agricultural. Where turbines and project roads are located the land use is entirely tilled agriculture. Crops include wheat, barley, hay and fallow fields.",1,90,1.8
98,USA,"Solano County, California",Solano Wind Turbine,38.09377778,-121.7527222,1,aves,Western Meadowlark,Sturnella ,neglecta,Y,1,365,Annual mortality per turbine,1,Very Low,N,N,,Wetlands,Marsh+Wetlands,1,1,2.5
98,USA,"Solano County, California",Solano Wind Turbine,38.09377778,-121.7527222,1,aves,American Kestrel,Falco ,sparverius,Y,1,365,Annual mortality per turbine,1,Very Low,N,N,,Wetlands,Marsh+Wetlands,1,1,2.5
98,USA,"Solano County, California",Solano Wind Turbine,38.09377778,-121.7527222,1,aves,Yellow-rumped Warbler,Dendroica,coronata,Y,1,365,Annual mortality per turbine,1,Very Low,N,N,,Wetlands,Marsh+Wetlands,1,1,2.5
98,USA,"Solano County, California",Solano Wind Turbine,38.09377778,-121.7527222,1,aves,American Coot,Fulica,americana,Y,1,365,Annual mortality per turbine,1,Very Low,N,N,,Wetlands,Marsh+Wetlands,1,1,2.5
98,USA,"Solano County, California",Solano Wind Turbine,38.09377778,-121.7527222,1,aves,European Starling,Sturnus,vulgaris,Y,1,365,Annual mortality per turbine,1,Very Low,N,N,,Wetlands,Marsh+Wetlands,1,1,2.5
128,USA,"Northeast Shasta County on Hatchet Mountain, California",Hatchet Ridge Wind Farm,40.875836,-121.741233,2,aves,Large birds,,,Y,1,365,Annual mortality per turbine,1.2,Medium,Y,N,16129,Forest,Mountain ridge - forest - area managed for commercial timber production primarily consisting of ponderosa pine and white fir.,1,44,2.3
128,USA,"Northeast Shasta County on Hatchet Mountain, California",Hatchet Ridge Wind Farm,40.875836,-121.741233,2,aves,small birds,,,Y,1,365,Annual mortality per turbine,0.72,Medium,Y,N,16129,Forest,Mountain ridge - forest - area managed for commercial timber production primarily consisting of ponderosa pine and white fir.,1,44,2.3
128,USA,"Northeast Shasta County on Hatchet Mountain, California",Hatchet Ridge Wind Farm,40.875836,-121.741233,2,aves,Bird sp,,,Y,1,365,Annual mortality per turbine,1.93,Medium,Y,N,16129,Forest,Mountain ridge - forest - area managed for commercial timber production primarily consisting of ponderosa pine and white fir.,1,44,2.3
128,USA,"Northeast Shasta County on Hatchet Mountain, California",Hatchet Ridge Wind Farm,40.875836,-121.741233,2,aves,UnID'd songbird,,,Y,1,365,Annual mortality per turbine,0.04,Medium,Y,Y,16129,Forest,Mountain ridge - forest - area managed for commercial timber production primarily consisting of ponderosa pine and white fir.,1,44,2.3
128,USA,"Northeast Shasta County on Hatchet Mountain, California",Hatchet Ridge Wind Farm,40.875836,-121.741233,1,aves,Steller's Jay,Cyanocitta,stelleri,Y,1,365,Annual mortality per turbine,0.088888889,Medium,Y,Y,16129,Forest,Mountain ridge - forest - area managed for commercial timber production primarily consisting of ponderosa pine and white fir.,1,44,2.3
128,USA,"Northeast Shasta County on Hatchet Mountain, California",Hatchet Ridge Wind Farm,40.875836,-121.741233,1,aves,Dark-eyed Junco,Junco ,hyemalis,Y,1,365,Annual mortality per turbine,0.02,Medium,Y,Y,16129,Forest,Mountain ridge - forest - area managed for commercial timber production primarily consisting of ponderosa pine and white fir.,1,44,2.3
128,USA,"Northeast Shasta County on Hatchet Mountain, California",Hatchet Ridge Wind Farm,40.875836,-121.741233,1,aves,Yellow-rumped Warbler,Dendroica,coronata,Y,1,365,Annual mortality per turbine,0.02,Medium,Y,Y,16129,Forest,Mountain ridge - forest - area managed for commercial timber production primarily consisting of ponderosa pine and white fir.,1,44,2.3
128,USA,"Northeast Shasta County on Hatchet Mountain, California",Hatchet Ridge Wind Farm,40.875836,-121.741233,2,aves,UnID'd kinglet,,,Y,1,365,Annual mortality per turbine,0.02,Medium,Y,Y,16129,Forest,Mountain ridge - forest - area managed for commercial timber production primarily consisting of ponderosa pine and white fir.,1,44,2.3
128,USA,"Northeast Shasta County on Hatchet Mountain, California",Hatchet Ridge Wind Farm,40.875836,-121.741233,1,aves,Golden-crowned Kinglet,Regulus,satrapa,Y,1,365,Annual mortality per turbine,0.02,Medium,Y,Y,16129,Forest,Mountain ridge - forest - area managed for commercial timber production primarily consisting of ponderosa pine and white fir.,1,44,2.3
128,USA,"Northeast Shasta County on Hatchet Mountain, California",Hatchet Ridge Wind Farm,40.875836,-121.741233,1,aves,Yellow Warbler,Dendroica,petechia,Y,1,365,Annual mortality per turbine,0.02,Medium,Y,Y,16129,Forest,Mountain ridge - forest - area managed for commercial timber production primarily consisting of ponderosa pine and white fir.,1,44,2.3
128,USA,"Northeast Shasta County on Hatchet Mountain, California",Hatchet Ridge Wind Farm,40.875836,-121.741233,1,aves,Western Meadowlark,Sturnella ,neglecta,Y,1,365,Annual mortality per turbine,0.02,Medium,Y,Y,16129,Forest,Mountain ridge - forest - area managed for commercial timber production primarily consisting of ponderosa pine and white fir.,1,44,2.3
128,USA,"Northeast Shasta County on Hatchet Mountain, California",Hatchet Ridge Wind Farm,40.875836,-121.741233,1,aves,Spotted Towhee,Pipilo,maculatus,Y,1,365,Annual mortality per turbine,0.02,Medium,Y,Y,16129,Forest,Mountain ridge - forest - area managed for commercial timber production primarily consisting of ponderosa pine and white fir.,1,44,2.3
128,USA,"Northeast Shasta County on Hatchet Mountain, California",Hatchet Ridge Wind Farm,40.875836,-121.741233,1,aves,Red-winged Blackbird,Agelaius,phoeniceus,Y,1,365,Annual mortality per turbine,0.02,Medium,Y,Y,16129,Forest,Mountain ridge - forest - area managed for commercial timber production primarily consisting of ponderosa pine and white fir.,1,44,2.3
